der Winter,winter
der Sommer,summer
"das Bein, -e",leg
"die Banane, -n",banana
der Balkon,balcony
rechts,right
links,left
"der Lehrer, (-in)",teacher
nächsten Monat,Next month
beide,"both, either"
natürlich,"of course, naturally, natural"
vor,"in front of, ahead of, before"
neben,beside
hinter,behind
für,for
durch,through
seit,since
nach,after
die Großeltern,grandparents
die Eltern,parents
"die Patchworkfamilie, -n",Patchwork family
"die Familie, -n",family
heiraten,"marry, get married"
"der Laptop, -s",laptop
"der Computer, -",computer
zusammen,together
echt,"Really, real, genuine"
sein,"be, his"
kommen,"come, get, arrive"
helfen,"help, assist"
haben,have
gehen,go
finden,find
essen ,"eat, dine"
treffen,meet
trinken,drink
Weihnachten,Christmas
das Neujahr,New Year’s Day
der Herbst,autmn/fall
der Frühling,spring
übermorgen,the day after tomorrow
vorgestern,the day before yesterday
der Wochentag,"weekday, day of the week"
das Jahrhundert,centry
Mittagsschlaf,afternoon nap
eigentlich,actually
oben,at the top/on the top/up
knapp,"close, narrow"
Zum Beispiel,For example
In der regel,As a rule
Stück für Stück,Step by step
zufrieden,content[ed]
der Zoll,toll
wunderbar,wonderful
der Wind,wind
das Wiedersehen,reunion
wichtig,important
das Wetter,weather
wenig,"little, few"
weiter,further
weit,wide
weh tun,"hurt, ache, pain, be sore"
der Vermieter,Landlord
unterschreiben,sign
der Unterricht,lesson
"die Treppe, -n ",stair
das Thema,theme
"der Teil, -e ",part
stellen,put
"die Speisekarte, -n",menu
selbstständig,independent
"die Sehenswürdigkeit, -en",Sightseeing
"der Schrank, -ä, e","cupboard, closet, wardrobe"
scheinen,shine
"der Satz, -ä, e",sentence
riechen,smell
"die Reparatur, -en",repair
"die Rechnung, -en",bill
"der Raum, -ä, e 	",room
pünktlich,punctual
die Pommes frites (pl.),French fries
möglich,possible
die Möbel (pl.),furniture
die Mitte,middle
mieten,rent
leise,quiet
leicht,light
"das Land, -ä, er ","country, nation, state, land"
lachen,laugh
"der Kurs, -e ",course
"der Kunde, -n",customer
kümmern," look after, care"
der Kühlschrank,refrigerator
der Kugelschreiber,Ballpoint pen
die Küche,kitchen
